digraph	symbol	name	gene	ap
||	%brbr	barbar	[%brbr p=gene q=gene]                       ::	[%brbr *]  [%bccb [%brls p.gen ~(bunt al bore(gen q.gen))]]
|_	%brcb	barcab	[%brcb p=gene q=(map term foot)]            ::	[%brcb *]  [%tsls [[%bctr p.gen] [%brcn q.gen]]]
|%	%brcn	barcen	[%brcn p=(map term foot)]                   ::	
|:	%brcl	barcol	[%brcl p=gene q=(map term foot)]            ::	
|.	%brdt	bardot	[%brdt p=gene]                              ::	[%brdt *]  [%brcn (~(put by *(map term foot)) %$ [%ash p.gen])]
|-	%brhp	barhep	[%brhp p=gene]                              ::	[%brhp *]  [%tsgr [%brdt p.gen] [%cnbc %$]]
|^	%brkt	barket	[%brkt p=gene q=(map term foot)]            ::	[%brkt *]  [%tsgr [%brcn (~(put by q.gen) %$ [%ash p.gen])] [%cnbc %$]]
|+	%brls	barlus	[%brls p=gene q=gene]                       ::	[%brls *]  [%ktbr [%brts p.gen q.gen]]
|*	%brtr	bartar	[%brtr p=gene q=gene]                       ::	[%brtr *]  [%brcb p.gen (~(put by *(map term foot)) %$ [%elm q.gen])]
|=	%brts	bartis	[%brts p=gene q=gene]                       ::	[%brts *]  [%brcb p.gen (~(put by *(map term foot)) %$ [%ash q.gen])]
|?	%brwt	barwut	[%brwt p=gene]                              ::	[%brwt *]  [%ktwt %brdt p.gen]
%_	%cncb	cencab	[%cncb p=wing q=gent]                       ::	[%cncb *]  [%ktls [%cnhx p.gen] %cnts p.gen q.gen]
%:	%cncl	cencol	[%cncl p=gene q=gene]                       ::	[%cncl *]  [%cnsg [%$ ~] p.gen q.gen]
%.	%cndt	cendot	[%cndt p=gene q=gene]                       ::	[%cndt *]  [%cnhp q.gen [p.gen ~]]
%^	%cnkt	cenket	[%cnkt p=gene q=gene r=gene s=gene]         ::	[%cnkt *]  [%cnhp p.gen q.gen r.gen s.gen ~]
%+	%cnls	cenlus	[%cnls p=gene q=gene r=gene]                ::	[%cnls *]  [%cnhp p.gen q.gen r.gen ~]
%-	%cnhp	cenhep	[%cnhp p=gene q=gens]                       ::	[%cnhp *]
%~	%cnsg	censig	[%cnsg p=wing q=gene r=gene]                ::	[%cnsg *]  [%cntr p.gen q.gen [[[~ 6] r.gen] ~]]
%*	%cntr	centar	[%cntr p=wing q=gene r=gent]                ::	
%=	%cnts	centis	[%cnts p=wing q=gent]                       ::	
$|	%bcbr	bucbar	[%bcbr p=gene q=gene]                       ::	[%bcbr *]  ~(clam al bore)
$_	%bccb	buccab	[%bccb p=gene]                              ::	[%bccb *]  ~(clam al bore)
$:	%bccl	buccol	[%bccl p=gens]                              ::	[%bccl *]  [%bccm [%cltr p.gen]]
$%	%bccn	buccen	[%bccn p=gene q=gens]                       ::	[%bccn *]  ~(clam al bore)
$,	%bccm	buccom	[%bccm p=gene]                              ::	[%bccm *]  ~(clam al bore(gen p.gen))
$&	%bcpm	bucpam	[%bcpm p=gene q=gene]                       ::	[%bcpm *]  ~(clam al bore)
$?	%bcwt	bucwut	[%bcwt p=gene q=gens]                       ::	[%bcwt *]  ~(clam al bore)
:_	%clcb	colcab	[%clcb p=gene q=gene]                       ::	[%clcb *]  [q.gen p.gen]
:~	%clsg	colsig	[%clsg p=gens]                              ::	[%clsg *]
:/	%clfs	colfas	[%clfs p=gene]                              ::	[%clfs *]  =+(zoy=[%dtsg %ta %$] [%clsg [zoy [%clsg [zoy p.gen] ~]] ~])
:^	%clkt	colket	[%clkt p=gene q=gene r=gene s=gene]         ::	[%clkt *]  [p.gen q.gen r.gen s.gen]
